university name,program,country,gre score,toefl score,cgpa,deadline,required documents,tuition fee,chance of admit
mcgill university,Engineering,Canada,309,110,8.43,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.56
university of british columbia,Data Science,Canada,313,96,7.24,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.35
carnegie mellon university,AI & Machine Learning,USA,322,106,9.3,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.68
uc berkeley,Electrical Engineering,USA,313,116,9.82,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.6
heidelberg university,Data Science,Germany,300,93,9.28,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.3
stanford university,Data Science,USA,338,101,6.01,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.55
university of edinburgh,Machine Learning,UK,297,115,8.55,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.54
university of melbourne,AI & ML,Australia,325,109,6.2,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.44
mcgill university,Engineering,Canada,327,118,7.03,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.62
university of sydney,Data Science,Australia,329,104,6.24,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.44
university of manchester,Data Analytics,UK,309,96,8.42,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.43
university of british columbia,Data Science,Canada,324,114,8.75,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.64
university of edinburgh,Machine Learning,UK,337,115,6.46,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.69
eth zurich,Computer Science,Switzerland,314,92,7.54,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.4
heidelberg university,Data Science,Germany,324,113,7.82,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.4
university of toronto,Computer Science,Canada,314,92,7.48,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.32
university of melbourne,AI & ML,Australia,318,109,6.48,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.47
heidelberg university,Data Science,Germany,307,106,7.68,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.46
university of sydney,Data Science,Australia,335,108,9.0,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.6
mcgill university,Engineering,Canada,307,102,6.28,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.38
university of british columbia,Data Science,Canada,291,112,6.32,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.33
mcgill university,Engineering,Canada,324,117,7.42,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.6
rwth aachen,Engineering,Germany,305,116,9.77,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.63
mcgill university,Engineering,Canada,330,113,8.67,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.69
eth zurich,Computer Science,Switzerland,325,118,8.71,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.56
rwth aachen,Engineering,Germany,322,118,7.45,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.52
university of sydney,Data Science,Australia,293,108,8.37,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.44
mcgill university,Engineering,Canada,322,104,6.04,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.34
mcgill university,Engineering,Canada,303,92,8.54,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.46
eth zurich,Computer Science,Switzerland,310,93,9.65,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.58
mit,Computer Science,USA,337,100,8.45,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55000,0.73
eth zurich,Computer Science,Switzerland,309,94,9.49,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.56
university of waterloo,Software Engineering,Canada,297,92,8.9,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.43
rwth aachen,Engineering,Germany,296,112,6.48,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.32
mit,Computer Science,USA,292,107,9.61,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55000,0.61
university of sydney,Data Science,Australia,306,114,6.27,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.33
harvard university,Business Analytics,USA,322,97,8.14,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.54
university of melbourne,AI & ML,Australia,337,119,6.57,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.63
university of manchester,Data Analytics,UK,301,108,6.05,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.45
heidelberg university,Data Science,Germany,311,96,7.69,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.45
mcgill university,Engineering,Canada,311,96,7.18,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.42
tu munich,Computer Science,Germany,335,97,7.94,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.57
imperial college london,AI & Robotics,UK,319,94,8.31,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.53
mit,Computer Science,USA,327,112,6.17,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55000,0.45
university of edinburgh,Machine Learning,UK,327,114,6.49,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.52
university of manchester,Data Analytics,UK,334,96,8.23,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.6
heidelberg university,Data Science,Germany,297,112,7.37,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.35
mcgill university,Engineering,Canada,316,96,8.92,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.46
mcgill university,Engineering,Canada,316,101,8.61,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.52
university of melbourne,AI & ML,Australia,323,101,9.38,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.54
university of manchester,Data Analytics,UK,310,110,8.77,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.64
university of manchester,Data Analytics,UK,319,108,7.72,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.6
mit,Computer Science,USA,322,112,8.69,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55000,0.67
university of cambridge,Data Science,UK,317,105,7.1,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.5
university of waterloo,Software Engineering,Canada,336,100,7.23,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.49
university of oxford,Computer Science,UK,322,105,9.16,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.56
university of sydney,Data Science,Australia,294,92,7.79,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.36
mcgill university,Engineering,Canada,337,110,9.19,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.68
university of manchester,Data Analytics,UK,308,104,9.29,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.53
mcgill university,Engineering,Canada,293,104,9.43,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.57
rwth aachen,Engineering,Germany,324,95,9.67,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.55
mcgill university,Engineering,Canada,338,92,7.72,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.59
university of waterloo,Software Engineering,Canada,306,108,7.28,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.35
university of toronto,Computer Science,Canada,333,99,8.33,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.55
university of edinburgh,Machine Learning,UK,317,93,7.48,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.33
eth zurich,Computer Science,Switzerland,319,119,8.4,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.55
university of toronto,Computer Science,Canada,318,99,8.82,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.59
university of waterloo,Software Engineering,Canada,335,98,8.75,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.63
tu munich,Computer Science,Germany,295,117,7.5,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.33
university of waterloo,Software Engineering,Canada,324,117,6.67,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.4
university of waterloo,Software Engineering,Canada,330,93,7.72,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.42
rwth aachen,Engineering,Germany,326,113,6.57,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.54
harvard university,Business Analytics,USA,313,113,9.56,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.52
imperial college london,AI & Robotics,UK,318,94,7.38,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.45
tu munich,Computer Science,Germany,338,118,6.62,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.56
mcgill university,Engineering,Canada,335,109,6.1,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.48
university of sydney,Data Science,Australia,320,103,8.58,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.52
stanford university,Data Science,USA,324,92,8.55,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.55
mcgill university,Engineering,Canada,322,113,7.36,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.58
university of sydney,Data Science,Australia,310,103,6.29,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.3
university of british columbia,Data Science,Canada,321,96,7.64,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.39
rwth aachen,Engineering,Germany,312,118,7.24,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.55
university of edinburgh,Machine Learning,UK,322,116,8.71,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.64
university of sydney,Data Science,Australia,292,108,8.42,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.38
university of toronto,Computer Science,Canada,307,107,7.46,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.61
stanford university,Data Science,USA,314,106,6.87,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.37
university of manchester,Data Analytics,UK,331,114,9.95,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.75
carnegie mellon university,AI & Machine Learning,USA,320,106,7.82,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.47
university of sydney,Data Science,Australia,292,96,8.75,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.33
uc berkeley,Electrical Engineering,USA,329,112,6.56,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.44
rwth aachen,Engineering,Germany,335,105,7.94,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.7
imperial college london,AI & Robotics,UK,313,93,6.11,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.3
uc berkeley,Electrical Engineering,USA,339,102,8.02,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.54
university of manchester,Data Analytics,UK,321,110,9.86,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.73
university of edinburgh,Machine Learning,UK,336,98,7.54,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.63
eth zurich,Computer Science,Switzerland,311,97,6.16,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.3
rwth aachen,Engineering,Germany,312,119,6.12,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.44
heidelberg university,Data Science,Germany,291,93,7.55,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.34
uc berkeley,Electrical Engineering,USA,316,97,6.64,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.32
university of manchester,Data Analytics,UK,331,109,6.09,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.45
university of manchester,Data Analytics,UK,291,93,9.02,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.33
mcgill university,Engineering,Canada,315,109,7.83,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.45
harvard university,Business Analytics,USA,306,106,7.16,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.52
heidelberg university,Data Science,Germany,329,118,9.6,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.68
mcgill university,Engineering,Canada,322,110,6.46,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.45
mit,Computer Science,USA,298,93,9.82,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55000,0.51
university of oxford,Computer Science,UK,332,111,7.26,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.66
eth zurich,Computer Science,Switzerland,337,116,9.55,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.73
heidelberg university,Data Science,Germany,328,97,8.41,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.48
mcgill university,Engineering,Canada,318,92,9.31,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.55
mcgill university,Engineering,Canada,331,115,9.94,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.83
imperial college london,AI & Robotics,UK,315,106,7.15,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.4
mcgill university,Engineering,Canada,324,119,9.84,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.7
university of manchester,Data Analytics,UK,339,114,7.56,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.64
university of toronto,Computer Science,Canada,314,101,7.54,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.39
uc berkeley,Electrical Engineering,USA,313,110,7.36,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.5
university of edinburgh,Machine Learning,UK,302,108,8.17,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.44
imperial college london,AI & Robotics,UK,296,96,6.62,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.3
mcgill university,Engineering,Canada,325,95,8.21,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.5
heidelberg university,Data Science,Germany,334,101,8.17,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.52
tu munich,Computer Science,Germany,309,115,9.05,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.65
heidelberg university,Data Science,Germany,290,108,9.33,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.55
imperial college london,AI & Robotics,UK,297,101,7.76,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.55
tu munich,Computer Science,Germany,335,108,7.21,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.56
university of manchester,Data Analytics,UK,305,119,7.04,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.48
university of manchester,Data Analytics,UK,303,111,6.78,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.42
tu munich,Computer Science,Germany,301,115,6.23,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.38
heidelberg university,Data Science,Germany,312,96,7.37,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.44
university of toronto,Computer Science,Canada,304,93,7.08,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.32
harvard university,Business Analytics,USA,317,97,9.87,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.49
university of oxford,Computer Science,UK,323,112,8.23,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.66
university of oxford,Computer Science,UK,291,93,7.39,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.3
eth zurich,Computer Science,Switzerland,321,104,8.32,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.57
university of manchester,Data Analytics,UK,312,102,6.56,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.49
university of manchester,Data Analytics,UK,311,102,7.78,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.49
rwth aachen,Engineering,Germany,314,107,8.5,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.57
university of british columbia,Data Science,Canada,311,102,7.96,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.41
mcgill university,Engineering,Canada,311,110,7.61,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.58
tu munich,Computer Science,Germany,338,106,9.98,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.67
carnegie mellon university,AI & Machine Learning,USA,331,116,9.52,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.72
university of british columbia,Data Science,Canada,295,114,8.49,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.47
heidelberg university,Data Science,Germany,304,114,8.28,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.55
uc berkeley,Electrical Engineering,USA,332,107,8.48,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.66
tu munich,Computer Science,Germany,326,102,6.81,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.41
harvard university,Business Analytics,USA,322,113,7.58,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.51
imperial college london,AI & Robotics,UK,297,107,6.16,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.3
university of waterloo,Software Engineering,Canada,333,99,7.9,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.54
imperial college london,AI & Robotics,UK,333,95,8.17,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.58
rwth aachen,Engineering,Germany,294,99,6.91,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.3
stanford university,Data Science,USA,328,95,9.86,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.59
eth zurich,Computer Science,Switzerland,293,115,9.64,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.46
university of edinburgh,Machine Learning,UK,295,116,8.89,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.46
uc berkeley,Electrical Engineering,USA,334,94,8.13,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.41
heidelberg university,Data Science,Germany,321,94,9.48,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.66
university of manchester,Data Analytics,UK,319,118,6.52,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.47
heidelberg university,Data Science,Germany,336,109,9.16,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.63
